show_id;type;title;director;country;date_added;release_year;rating;duration;listed_in;description
1005494;Movie;The Stranger;Orson Welles;United States;19/07/2018;1946;TV-PG;94 min;Classic Movies, Dramas, Thrillers;A Nazi fugitive hiding in Connecticut tries to keep his identity hidden from his naïve new wife while a dogged investigator pursues him relentlessly.
80161851;TV Show;Pioneers of African-American Cinema;Oscar Micheaux, Spencer Williams, Richard E. Norman, Richard Maurice;United States;01/02/2017;1946;TV-14;1 Season;TV Shows;This newly preserved collection features more than 20 films made by groundbreaking African American directors for black audiences from 1915 to 1946.
80119193;Movie;Thunderbolt;William Wyler, John Sturges;United States;31/03/2017;1947;TV-14;42 min;Classic Movies, Documentaries;A P-47 Thunderbolt squadron is shown in preparation, at play and in bombing raids aiming to halt Nazi supply lines and aid Allied ground troops.
60003082;Movie;White Christmas;Michael Curtiz;United States;15/07/2012;1954;TV-G;120 min;Children & Family Movies, Classic Movies, Comedies;Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place.
70031792;Movie;Rebel Without a Cause;Nicholas Ray;United States;01/11/2019;1955;PG-13;111 min;Classic Movies, Dramas;When Jim Stark arrives in a new town with his troubled past firmly in tow, he quickly falls for the girl next door and befriends the vulnerable Plato.
516788;Movie;Forbidden Planet;Fred M. Wilcox;United States;01/11/2019;1956;G;98 min;Action & Adventure, Classic Movies, Sci-Fi & Fantasy;A pulp-fiction sci-fi classic, Forbidden Planet stars Leslie Nielsen as a heroic starship captain who finds the paradise planet Altair-IV.
542137;Movie;Gigi;Vincente Minnelli, Charles Walters;United States;01/11/2019;1958;G;115 min;Classic Movies, Comedies, Music & Musicals;Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.
70046968;Movie;Cat on a Hot Tin Roof;Richard Brooks;United States;01/11/2019;1958;NR;108 min;Classic Movies, Dramas;Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.
80158391;Movie;Ujala;Naresh Saigal;India;15/10/2017;1959;TV-PG;143 min;Dramas, International Movies;An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.
60021590;Movie;Ocean's Eleven;Lewis Milestone;United States;01/11/2019;1960;TV-PG;127 min;Action & Adventure, Classic Movies, Comedies;Frank Sinatra leads an all-star cast as Danny Ocean, who decides to knock over a few casinos on the Las Vegas Strip with his buddies.
60001407;Movie;Jis Desh Men Ganga Behti Hai;Radhu Karmakar;;31/12/2019;1960;TV-14;181 min;Action & Adventure, Dramas, International Movies;Falling in with a band of outlaws during a holy pilgrimage, a country boy tries to change their violent ways ahead of a showdown with the authorities.
60002033;Movie;Butterfield 8;Daniel Mann;United States;01/11/2019;1960;TV-14;108 min;Classic Movies, Dramas, Romantic Movies;Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.
80158547;Movie;Singapore;Shakti Samanta;India, Malaysia;15/10/2017;1960;TV-PG;158 min;Comedies, Dramas, International Movies;When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.
60011729;Movie;Mutiny on the Bounty;Lewis Milestone, Carol Reed;United States;01/11/2019;1962;TV-PG;185 min;Action & Adventure, Classic Movies, Dramas;Marlon Brando gives a nuanced performance as the aristocratic Lt. Fletcher Christian, an officer aboard the HMS Bounty who leads a mutiny against the ship's tyrannical Capt. Bligh.
709380;Movie;Lolita;Stanley Kubrick;United Kingdom, United States;01/11/2019;1962;R;153 min;Classic Movies, Dramas, Romantic Movies;In this black comedy, an English professor marries his landlady to get closer to his forbidden obsession: her teenage daughter.
20257393;Movie;Professor;Lekh Tandon;India;01/07/2017;1962;TV-PG;163 min;Comedies, Dramas, International Movies;A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.
70172488;TV Show;The Twilight Zone (Original Series);;United States;01/07/2017;1963;TV-PG;4 Seasons;Classic & Cult TV, TV Sci-Fi & Fantasy;Hosted by creator Rod Serling, this groundbreaking anthology series presents tales of the supernatural that are often tinged with social commentary.
60002818;Movie;Sangam;Raj Kapoor;India;31/12/2019;1964;TV-14;228 min;Classic Movies, Dramas, International Movies;Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.
70031779;Movie;The Cincinnati Kid;Norman Jewison;United States;01/11/2019;1965;TV-14;103 min;Classic Movies, Dramas;"In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills – and nerve – ensues."
449931;Movie;Doctor Zhivago;David Lean;United States, Italy, United Kingdom, Liechtenstein;01/11/2019;1965;PG-13;200 min;Classic Movies, Dramas, Romantic Movies;A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.
80158390;Movie;Amrapali;Lekh Tandon;India;01/07/2017;1966;TV-PG;116 min;Dramas, International Movies, Music & Musicals;In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves.
70155574;TV Show;The Andy Griffith Show;;United States;01/07/2017;1967;TV-G;8 Seasons;Classic & Cult TV, TV Comedies;Homespun humor and easygoing Sheriff Andy Taylor are at the center of this nostalgic look at Mayberry, a small town filled with lovable characters.
70001777;Movie;Who's That Knocking at My Door?;Martin Scorsese;United States;01/07/2019;1967;R;90 min;Classic Movies, Dramas, Independent Movies;A woman's revelation that she was once raped sends her boyfriend, a reformed street thug, into an emotional and spiritual tailspin.
81168346;Movie;Westerplatte Resists;Stanisław Różewicz;Poland;01/10/2019;1967;TV-MA;93 min;Classic Movies, Dramas, International Movies;At the onset of World War II, a Polish infantry lacking firepower fight to build a strong defense and protect their peninsula against enemy forces.
70136140;TV Show;Star Trek;;United States;01/10/2017;1968;TV-PG;3 Seasons;Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy;Led by unflappable Capt. Kirk, the crew of the starship Enterprise delves deep into the far reaches of space to explore new worlds and civilizations.
60031884;Movie;Once Upon a Time in the West;Sergio Leone;Italy, United States;20/11/2019;1968;PG-13;166 min;Action & Adventure, Classic Movies, International Movies;In this epic spaghetti Western, a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his trans-American iron horse.
374651;Movie;Chitty Chitty Bang Bang;Ken Hughes;United Kingdom, United States;01/01/2020;1968;G;146 min;Children & Family Movies, Classic Movies, Comedies;Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.
60002403;Movie;Rosemary's Baby;Roman Polanski;United States;01/11/2019;1968;R;137 min;Classic Movies, Horror Movies, Thrillers;A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.
1067876;Movie;True Grit;Henry Hathaway;United States;01/01/2020;1969;G;128 min;Classic Movies, Dramas;Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.
80158546;Movie;Prince;Lekh Tandon;India;01/06/2017;1969;TV-14;152 min;Dramas, International Movies, Romantic Movies;To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife.
81168342;Movie;The Cruise;Marek Piwowski;Poland;01/10/2019;1970;TV-PG;66 min;Comedies, Cult Movies, International Movies;When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue.
80158482;Movie;Elaan;K. Ramanlal;India;01/04/2017;1971;TV-PG;143 min;Action & Adventure, Cult Movies, International Movies;Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers.
60020949;Movie;Willy Wonka & the Chocolate Factory;Mel Stuart;United States, East Germany, West Germany;01/01/2020;1971;G;100 min;Children & Family Movies, Classic Movies, Comedies;Zany Willy Wonka causes a stir when he announces that golden tickets hidden inside his candy bars will admit holders into his secret confectionary.
80158481;Movie;Lal Patthar;Sushil Majumdar;India;01/07/2017;1971;TV-PG;153 min;Classic Movies, Dramas, International Movies;A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman.
80236357;TV Show;Monty Python's Fliegender Zirkus;;United Kingdom, West Germany;02/10/2018;1972;TV-14;1 Season;International TV Shows, TV Comedies;The Pythons elevate the absurd to new heights and bring their sketches to German TV, working in phonetic German, at times with an Australian accent.
60033247;Movie;Superfly;Gordon Parks;United States;01/11/2019;1972;R;91 min;Action & Adventure, Classic Movies, Dramas;To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over.
60003405;Movie;Bawarchi;Hrishikesh Mukherjee;India;31/12/2019;1972;TV-PG;125 min;Classic Movies, Comedies, Dramas;A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.
24073896;Movie;Koshish;Gulzar;India;31/12/2019;1972;TV-14;115 min;International Movies, Romantic Movies;A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.
382650;Movie;Cleopatra Jones;Jack Starrett;United States;01/11/2019;1973;PG;89 min;Action & Adventure, Classic Movies;A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer.
60036838;Movie;Enter the Dragon;Robert Clouse;Hong Kong, United States;01/11/2019;1973;R;103 min;Action & Adventure, Classic Movies;Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.
80158480;Movie;Khoon Khoon;Mohammed Hussain;India;01/09/2017;1973;TV-14;132 min;Action & Adventure, International Movies;As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of “Dirty Harry.”
1145882;Movie;Young Tiger;Mu Chu;Hong Kong;01/11/2016;1973;NR;81 min;Action & Adventure, International Movies;Aided only by a tough female police officer, a Hong Kong taxi driver tries to escape from gangsters pursuing incriminating evidence left in his cab.
60020948;Movie;Charlotte's Web;Charles A. Nichols, Iwao Takamoto;United States;23/11/2019;1973;G;94 min;Children & Family Movies, Classic Movies;Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.
70001958;Movie;Mean Streets;Martin Scorsese;United States;01/07/2019;1973;R;112 min;Classic Movies, Dramas, Independent Movies;In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler.
70005055;Movie;Bobby;Raj Kapoor;India;31/12/2019;1973;TV-14;168 min;Classic Movies, Dramas, International Movies;Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose.
653673;Movie;Jimi Hendrix;Joe Boyd;United States;01/11/2019;1973;R;102 min;Documentaries, Music & Musicals;Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage.
81168348;Movie;Jealousy and medicine;Janusz Majewski;Poland;01/10/2019;1973;TV-MA;97 min;Dramas, International Movies, Romantic Movies;Tormented by mistrust, a businessman hires a cagey tailor to track his wife's whereabouts with her doctor only to send his mind further down an abyss.
70213238;TV Show;Monty Python's Flying Circus;;United Kingdom;02/10/2018;1974;NR;4 Seasons;British TV Shows, Classic & Cult TV, International TV Shows;The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing.
296682;Movie;Benji;Joe Camp;United States;06/03/2018;1974;G;86 min;Children & Family Movies, Classic Movies;After lovable abandoned mutt Benji is adopted by a kind family, he chases cats, flirts with a show dog and bravely helps to rescue two abducted kids.
60010069;Movie;Alice Doesn't Live Here Anymore;Martin Scorsese;United States;01/07/2019;1974;PG;112 min;Classic Movies, Comedies, Dramas;A widowed singer and single mother starts over as a diner waitress in Arizona, befriending her coworkers and romancing a ruggedly handsome rancher.
60004083;Movie;The Longest Yard;Robert Aldrich;United States;20/11/2019;1974;R;121 min;Classic Movies, Comedies, Sports Movies;Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards.
81213896;Movie;Rajnigandha;Basu Chatterjee;India;31/12/2019;1974;TV-PG;104 min;Comedies, Dramas, Independent Movies;A grad student leaves her boyfriend in Delhi for a job interview in Mumbai, where she reconnects with an old flame for whom she still has feelings.
80158545;Movie;Manoranjan;Shammi Kapoor;India;01/09/2017;1974;TV-14;162 min;Comedies, International Movies, Music & Musicals;After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.
15815343;Movie;The Texas Chainsaw Massacre;Tobe Hooper;United States;22/10/2019;1974;R;83 min;Cult Movies, Horror Movies, Independent Movies;When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil.
80039136;Movie;Immoral Tales;Walerian Borowczyk;France;06/06/2019;1974;UR;103 min;Dramas, International Movies, Romantic Movies;This anthology illustrates the timeless nature of desire in four stories of incest, bloodlust and other forbidden subjects.
771476;Movie;Monty Python and the Holy Grail;Terry Gilliam, Terry Jones;United Kingdom;02/01/2019;1975;PG;92 min;Action & Adventure, Classic Movies, Comedies;The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
80999107;Movie;The Flying Guillotine;Meng Hua Ho;Hong Kong;28/07/2018;1975;TV-MA;101 min;Action & Adventure, Dramas, International Movies;In Qing-dynasty China, the emperor commands that a weapon be invented to kill at a distance without a trace. Then he orders it used on its wielders.
80158479;Movie;Salaakhen;A. Salaam;India;01/04/2017;1975;TV-14;134 min;Action & Adventure, International Movies, Music & Musicals;Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond.
20255593;Movie;Chupke Chupke;Hrishikesh Mukherjee;India;31/12/2019;1975;TV-PG;127 min;Classic Movies, Comedies, International Movies;Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score.
81168347;Movie;Hotel Pacific;Janusz Majewski;Poland,;01/10/2019;1975;TV-MA;96 min;Classic Movies, Dramas, International Movies;A motivated teen strives to rise from dishwasher to waiter at a luxury hotel only to tread in the abusive tide of its workplace hierarchy.
709163;Movie;Logan's Run;Michael Anderson;United States;01/11/2019;1976;PG;118 min;Action & Adventure, Classic Movies, Cult Movies;In the 23rd century, inhabitants of a domed city exist in a world filled with life's pleasures – but no one is allowed to live past the age of 30.
915927;Movie;Rocky;John G. Avildsen;United States;01/08/2019;1976;PG;120 min;Action & Adventure, Classic Movies, Dramas;Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt.
20765027;Movie;Hera Pheri;Prakash Mehra;India;31/12/2019;1976;TV-14;156 min;Action & Adventure, Comedies, Dramas;The bond between two crooks and best friends is threatened when one learns that the other's father had a hand in his own tragic past.
352989;Movie;Carrie;Brian De Palma;United States;01/06/2019;1976;R;98 min;Classic Movies, Cult Movies, Horror Movies;"An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom."
18907685;Movie;Taxi Driver;Martin Scorsese;United States;01/07/2019;1976;R;114 min;Classic Movies, Dramas, Thrillers;Enraged by New York's moral rot and urban decay, an unhinged cab driver goes mad, plotting an assassination and saving a teen sex worker.
80158389;Movie;Chadi Jawani Budhe Nu;;India;01/09/2017;1976;TV-PG;135 min;Comedies, International Movies, Romantic Movies;After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress.
70058796;Movie;Sparkle;Sam O'Steen;United States;01/11/2019;1976;PG;98 min;Dramas, Music & Musicals;In 1950s Harlem, three singing sisters hit the big time and end up losing one another in this musical melodrama inspired by the Supremes.
80244567;TV Show;Dad's Army;;United Kingdom;31/03/2018;1977;TV-PG;10 Seasons;British TV Shows, Classic & Cult TV, TV Comedies;This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.
247747;Movie;Amar Akbar Anthony;Manmohan Desai;India;31/12/2019;1977;TV-14;172 min;Action & Adventure, Classic Movies, Comedies;Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital.
516154;Movie;For the Love of Benji;Joe Camp;United States;06/03/2018;1977;G;84 min;Children & Family Movies;Benji and his owner get separated in Greece. On his quest to find them, he's targeted by various bad guys who want to get their hands on him.
80106791;Movie;Hitler - A Career;Joachim Fest, Christian Herrendoerfer;West Germany;10/02/2017;1977;TV-MA;150 min;Documentaries, International Movies;This documentary examines how Adolf Hitler's talent for manipulation, psychology and image-making led him from humble origins to near-world conquest.
60001404;Movie;Swami;Basu Chatterjee;India;31/12/2019;1977;TV-PG;123 min;Dramas, Independent Movies, International Movies;After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice.
20255837;Movie;Don;Chandra Barot;India;31/12/2019;1978;TV-14;158 min;Action & Adventure, Classic Movies, Dramas;A man who's a lookalike for a slain mob kingpin is asked by the police to impersonate the gangster and infiltrate his underworld organization.
60001377;Movie;The Five Venoms;Cheh Chang;Hong Kong;31/07/2018;1978;R;97 min;Action & Adventure, Cult Movies, International Movies;A dying kung fu master sends his last student to track down five former pupils in order to learn which one of them has become evil.
80158388;Movie;Bandie;Alo Sarkar;India;01/11/2017;1978;TV-14;141 min;Action & Adventure, Dramas, International Movies;Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her.
80997870;Movie;Flying Guillotine 2;Kang Cheng, Shan Hua;Hong Kong;31/07/2018;1978;TV-MA;88 min;Action & Adventure, International Movies;The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties.
70002129;Movie;Benji's Very Own Christmas Story;Joe Camp;United States;03/10/2018;1978;TV-G;25 min;Children & Family Movies;While on a press tour, Benji goes behind the scenes of Santa's workshop. But Santa has a devastating secret, so it's up to Benji to save Christmas.
60000577;Movie;Grease;Randal Kleiser;United States;01/11/2019;1978;PG;110 min;Classic Movies, Comedies, Music & Musicals;John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for – much to his friends' chagrin.
81168344;Movie;The spiral;Krzysztof Zanussi;Poland;01/10/2019;1978;TV-MA;84 min;Dramas, Independent Movies, International Movies;When an unbearable stranger arrives at a winter mountain resort and vanishes overnight, his dark past comes to light.
70205634;TV Show;El Chavo;;Mexico;31/12/2017;1979;TV-PG;1 Season;Classic & Cult TV, Kids' TV, Spanish-Language TV Shows;El Chavo is a poor, nameless orphan who lives in an apartment building with La Chilindrina, Quico, Doña Florinda, Don Ramón and Professor Jirafales.
70050576;Movie;Lupin the 3rd: The Castle of Cagliostro: Special Edition;Hayao Miyazaki;Japan;15/05/2018;1979;PG-13;100 min;Action & Adventure, Anime Features, Classic Movies;Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress.
81213898;Movie;The Great Gambler;Shakti Samanta;India;31/12/2019;1979;TV-14;161 min;Action & Adventure, Classic Movies, Cult Movies;After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelgänger.
699257;Movie;Monty Python's Life of Brian;Terry Jones;United Kingdom;02/10/2018;1979;R;94 min;Classic Movies, Comedies, Cult Movies;Born in a stable in Judea, Brian grows up to join a group of anti-Roman zealots, but his fate keeps getting confused with that of a certain carpenter.
21028086;Movie;Gol Maal;Hrishikesh Mukherjee;India;31/12/2019;1979;TV-PG;137 min;Classic Movies, Comedies, International Movies;When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother.
916043;Movie;Rocky II;Sylvester Stallone;United States;01/08/2019;1979;PG;119 min;Dramas, Sports Movies;Featuring a rousing climax, this engaging sequel finds boxer Rocky Balboa returning to the ring for a rematch against reigning champ Apollo Creed.
907090;Movie;Richard Pryor: Live in Concert;Jeff Margolis;United States;01/12/2016;1979;TV-MA;79 min;Stand-Up Comedy;Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself.
60028294;Movie;Popeye;Robert Altman;United States;24/11/2019;1980;PG;114 min;Action & Adventure, Children & Family Movies, Comedies;During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.
70130432;Movie;Return To The 36th Chamber;Chia-Liang Liu;Hong Kong;16/08/2018;1980;R;97 min;Action & Adventure, Comedies, International Movies;When thugs prey upon innocent factory workers, a small-time scammer trains for revenge by studying the moves of Shaolin temple monks.
70100527;Movie;Sword Masters: Two Champions of Shaolin;Cheh Chang;Hong Kong;16/08/2018;1980;R;101 min;Action & Adventure, International Movies;Shaolin warrior Tung Chien-chen is injured in battle against the hated Wu Tang clan, and nursed back to health by a knife-throwing master. As he recovers, Tung learns this deadly art, and also falls in love with his teacher's daughter.
80158543;Movie;Alibaba Aur 40 Chor;Latif Faiziyev, Umesh Mehra;Soviet Union, India;15/01/2018;1980;TV-PG;147 min;Action & Adventure, International Movies, Sci-Fi & Fantasy;A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.
81213895;Movie;Khubsoorat;Hrishikesh Mukherjee;India;31/12/2019;1980;TV-PG;120 min;Classic Movies, Comedies, Dramas;A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.
70020699;Movie;Raging Bull;Martin Scorsese;United States;01/10/2019;1980;R;129 min;Classic Movies, Dramas, Sports Movies;This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons.
70135647;Movie;Playing for Time;Daniel Mann, Joseph Sargent;United States;01/12/2017;1980;TV-14;149 min;Dramas;Captured by Nazis and sent to Auschwitz, a Jewish musician is assigned to soothe other prisoners marching to their deaths in the gas chambers.
80153226;TV Show;Ninja Hattori;;Japan;23/12/2018;1981;TV-Y7;1 Season;Anime Series, Kids' TV;Elementary school student Kenichi Mitsuba's household gains a surprising new member: Kanzo Hattori, a mischievous but helpful young ninja.
60011649;Movie;Indiana Jones and the Raiders of the Lost Ark;Steven Spielberg;United States;01/01/2019;1981;PG;116 min;Action & Adventure, Children & Family Movies, Classic Movies;When Indiana Jones is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.
20712279;Movie;Kaalia;Tinnu Anand;India;31/12/2019;1981;TV-14;173 min;Action & Adventure, Dramas, International Movies;Jailed for robbing his brother’s unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge.
1008581;Movie;Stripes;Ivan Reitman;United States;01/09/2019;1981;R;106 min;Classic Movies, Comedies, Cult Movies;After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too.
484369;Movie;The Evil Dead;Sam Raimi;United States;10/01/2020;1981;TV-MA;85 min;Classic Movies, Cult Movies, Horror Movies;During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic.
80156369;Movie;Winter of Our Dreams;John Duigan;Australia;01/11/2016;1981;NR;86 min;Classic Movies, Dramas;After the death of a long-ago lover, married philanderer Rob tracks down her friend, a drug-addicted prostitute desperate to escape her dead-end life.
80997867;Movie;Mahjong Heroes;Li Pei-Chuan;Hong Kong;16/08/2018;1981;TV-PG;92 min;Comedies, International Movies;In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles.
81213897;Movie;Namak Halaal;Prakash Mehra;India;31/12/2019;1982;TV-14;171 min;Action & Adventure, Comedies, International Movies;While loyally defending his boss from mobsters trying to kill him, a naive, hotel bellboy discovers the family he never knew he had.
70059191;Movie;Legendary Weapons of China;Chia-Liang Liu;Hong Kong;16/08/2018;1982;TV-14;101 min;Action & Adventure, Cult Movies, International Movies;Three assassins – magician Lei Ying, hit man Tieh Hon and kung fu master Ti Tan – are sent to Yunnan by their clan leader to bring to justice another clan member who betrayed the tribe.
70124316;Movie;Five Elements Ninjas;Cheh Chang;Hong Kong;17/09/2019;1982;R;104 min;Action & Adventure, International Movies;When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.
419733;Movie;The Dark Crystal;Frank Oz, Jim Henson;United States, United Kingdom;01/05/2019;1982;PG;93 min;Children & Family Movies;In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.
80236778;Movie;Monty Python: Live at The Hollywood Bowl;Terry Hughes, Ian MacNaughton;United Kingdom, United States;02/10/2018;1982;R;80 min;Comedies;"Film clips and Terry Gilliam animations feature in this live-to-tape performance of greatest hits, including ""Travel Agent"" and ""Solo Wrestling."""
20257617;Movie;Satte Pe Satta;Raj N. Sippy;India;31/12/2019;1982;TV-14;153 min;Comedies, Cult Movies, Dramas;The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.
